Negrete,10429,2,19.2,0,0.0,O,0.0,0,O,O,O,0,2,O,O
Penco ,49865 ,12 ,24.1 ,6 ,12.0 ,6 ,12.0 ,0 ,O ,0 ,1 ,3 ,4 ,3 ,1 
Quilaco ,4179 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,O ,O ,O ,O ,0 
Quilleco ,10032 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,O ,O ,O ,0 ,0 ,O ,0 
San Pedro de la Paz & ,145906 ,75 ,51.4 ,14 ,9.6 ,14 ,9.6 ,1 ,O ,4 ,21 ,23 ,18 ,7 ,1 
San Rosendo ,3611 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,O ,O ,0 ,0 ,0 ,O ,O 
Santa Barbara ,14592 ,3 ,20.6 ,O ,0.0 ,O ,0.0 ,0 ,O ,O ,1 ,2 ,0 ,O ,0 
Santa Juana ,14779 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,O ,0 ,O ,0 ,0 ,0 ,0 
Talcahuano ,158345 ,85 ,53.7 ,22 ,13.9 ,22 ,13.9 ,0 ,O ,1 ,7 ,33 ,27 ,15 ,2 
Tirua ,11019 ,4 ,36.3 ,O ,0.0 ,O ,0.0 ,0 ,O ,O ,1 ,2 ,1 ,O ,O 
Tome ,58729 ,37 ,63.0 ,14 ,23.8 ,14 ,23.8 ,O ,O ,1 ,8 ,7 ,12 ,9 ,0 
Tucapel ,15205 ,1 ,6.6 ,1 ,6.6 ,1 ,6.6 ,O ,0 ,0 ,0 ,0 ,1 ,O ,O 
Yumbe ,22132 ,5 ,22.6 ,0 ,0.0 ,O ,0.0 ,O ,O ,O ,O ,5 ,0 ,O ,O 
Por determinar ,- ,5 ,- ,5 ,- ,5 ,- ,O ,O ,O ,O ,O ,O ,O ,5 
Total ,1663696 ,578 ,34.7 ,147 ,8.8 ,144 ,8.7 ,1 ,3 ,21 ,99 ,179 ,167 ,85 ,23 
